NOMBRE,UBICACION,COORDENADAS,BARRIO,TEMATICA,TELEFONO,EMAIL,WEB,VIDEO
Otra lluvia,Bulnes 640,"-34.604115,-58.418147",Palermo,General,4866-4440,otralluvia@gmail.com,www.otralluvia.com.ar,
Otro mundo,Armenia 2432,"-34.58419,-58.419212",Palermo,General,4831-9348,libreriaotromundo@yahoo.com.ar,www.libreriaotromundo.com.ar,
Penélope libros,Scalabrini Ortiz 3673 Loc. 10,"-34.575216,-58.406622",Palermo,Psicología,4831-8538,penelopelibros@gmail.com,,
El Perseguidor,Av. Corrientes 1718,"-34.604414,-58.39108",San Nicolás,General,4374-4753,elperse@speedy.com.ar,,
Deva´s ,Av. Acoyte 70 ,"-34.617467,-58.4369",Caballito,Autoayuda y esoterismo,5901-4588,tncaballito@devas.com,http://www.devas.com,
Punto y Aparte,Av. Corrientes 1736,"-34.604432,-58.391343",San Nicolás,General,,,,
Purr libros,Av. Santa Fe 2729 Loc. 32,"-34.593124,-58.405382",Recoleta,"Artes visuales, diseño y aquitectura",4822-9433,hola@purrlibros.com,www.purrlibros.com,
Libros Aluvión,Viamonte 989,"-34.600189,-58.381022",San Nicolás,"General, Anticuaria, De saldos, De viejo",4328-3042,aluvion.libros@hotmail.com,,
Nueva Era Libros,Florida 165 Loc.16,"-34.606156,-58.375081",San Nicolás,General,4342-8009,dnuevaera@dnuevaera.com.ar,,
Librería Paidos,Av. Las Heras 3741 Loc. 31,"-34.581901,-58.411769",Palermo,Psicología,4801-2860,ventas@libreriapaidos.com,www.libreriapaidos.com,
Palumbo,Av. Corrientes 5457,"-34.5976,-58.441233",Villa del Parque,General,4854-8034,,,
Librería Pampeana,Libertad 948 Loc.11 y 15,"-34.597555,-58.384144",Retiro,"Anticuaria, De viejo",4816-6057,,,
Pan y Trabajo,Cuzco 150,"-34.637777,-58.527907",Liniers,Religión,,,,
Rayo Negro,Av. Santa Fe 1670 Loc. 7 ,"-34.595845,-58.391328",Recoleta,Comics,5811-4351,,,
Menéndez Libros,Paraguay 431,"-34.597353,-58.373373",Retiro,General,4311-6665,marta@menendezlibros.com.ar,www.menendezlibros.com.ar ,
Rayo Rojo,Av. Santa Fe 1670 Loc. 21 y 23,"-34.595845,-58.391328",Recoleta,"Artes visuales, diseño y aquitectura, Comics",4815-8351,rayo.rojo@pccp.com.ar,,
Librería Rodriguez,Av. Cabildo 1849 Loc. 4 y 6 ,"-34.564385,-58.454631",Belgrano,"General, Lenguas extranjeras, Textos escolares",4781-3671 /73,libreriarodriguez@arnetbiz.com.ar,,
José Librerías,Suipacha 336,"-34.604388,-58.379447",San Nicolás,General,4322-9915,,,
La vidriera del Libro,Av. Corrientes 753  local 20,"-34.603434,-58.377418",San Nicolás,General,4325-5472,,,
Deva´s, Av. Santa Fe 1998/2000,"-34.595754,-58.396034",Recoleta,Autoayuda y esoterismo,4814-2217 ,tnrecoleta@devas.com, http://www.devas.com,
Rubinzal-Culzoni editores,Talcahuano 442,"-34.603431,-58.385184",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4373-0755,editorial@rubinzal.com.ar,www.rubinzal.com.ar,
Rudi B. Sazunic,Treinta y Tres Orientales 957 (Concertar cita previa),"-34.625733,-58.423032",Boedo,Música,4925-2798 / 15 5174 3652,rudi@sazunic.com,www.seventyeight.com ,
El Rufián melancólico,Bolívar 857,"-34.617907,-58.37306",San Telmo,De viejo,4300-1027,rufian61@hotmail.com,,o4t8jI7k9X8
San Benito,Villanueva 955,"-34.568393,-58.43903",Palermo,Religión,,,,
San Jorge,Eva Perón 5027,"-34.658412,-58.479692",Mataderos,General,4683-7657,,,
San Pablo,Av. Callao 325,"-34.605345,-58.392173",Recoleta,Religión,4375-0265,spcallao@san-pablo.com.ar,www.san-pablo.com.ar,
San Román,3 de Febrero 990,"-34.569444,-58.442871",Palermo,General,4771-2236,mildldsanroman2@hotmail.com,,
Librería Santa Fe,Av. Cabildo 605,"-34.57087,-58.442997",Belgrano,General,4899-1916/30,cabildo@lsf.com.ar,www.lsf.com.ar,
Librería Santa Fe,Av. Callao 335,"-34.60523,-58.392186",San Nicolás,General,5246-4335,callao@lsf.com.ar,www.lsf.com.ar,
Rigoletto Curioso,Av. Corrientes 1660 Loc. 10,"-34.604332,-58.390238",San Nicolás,De viejo,6320-5310,rigoletto-curioso@hotmail.com,www.rigoletto-curioso.com.ar,
Rincon 9,Junín 74,"-34.608615,-58.396378",Balvanera,Lenguas extranjeras,4951-0192,rincon9srl@speedy.com.ar,www.rincon9.com.ar,
Libros La Teatral,Federico Lacroze 1860,"-34.565046,-58.440027",Belgrano,Anticuaria,4775-1128,info@libroslateatral.com.ar,www.libroslateatral.com.ar,
Rincón del anticuario,Junín 1270,"-34.593479,-58.396964",Recoleta,General,4827-1666,inforincondelanticuario@rossilibros.com,,
Roberto Werner,Sucre 1180 6o A (Concertar cita previa) ,"-34.556502,-58.442524",Belgrano,General,154-440-5549,werner@broli.com,www.broli.com,
Librería Santa Fe,Av. Santa Fe 2376,"-34.59518,-58.399841",Recoleta,General,5854-2376,  santafe2376@lsf.com.ar,www.lsf.com.ar,
Librería Santa Fe,Av. Santa Fe 2582,"-34.594164,-58.40337",Recoleta,General,5219-2582,,www.lsf.com.ar,
Librería Santa Fe,"Av. Santa Fe 3253, Alto Palermo Shopping Local 2011","-34.588474,-58.410921",Palermo,General,5777-8078/8120 5219-3253,altopalermo@lsf.com.ar,www.lsf.com.ar,
Santa María,Av. Rivadavia 8517,"-34.6342,-58.483435",Versalles,Religión,,,,
SBS librería internacional,Av. Córdoba 1840,"-34.59967,-58.393514",San Nicolás,Lenguas extranjeras,4811-8338,barrionorte@sbs.com.ar,www.sbs.com.ar,
SBS librería internacional,Av. Coronel Diaz 1747,"-34.591057,-58.411766",Palermo,Lenguas extranjeras,4821-0206,palermo@sbs.com.ar,www.sbs.com.ar,
SBS librería internacional,Avelino Diaz 533,"-34.63537,-58.427935",Parque Chacabuco,Lenguas extranjeras,4926-0194,parquechacabuco@sbs.com.ar,www.sbs.com.ar,
SBS librería internacional,Juramento 2588,"-34.563063,-58.458442",Belgrano,Lenguas extranjeras,4788-4860,belgrano@sbs.com.ar,www.sbs.com.ar,
Los Siete locos,Esmeralda 482,"-34.602584,-58.378104",San Nicolás,De saldos,,,,
Los 7 pilares,Florida 835 Loc. 9,"-34.598282,-58.375367",Retiro,Anticuaria,4516-0150,info@7pilares.com.ar,www.7pilares.com.ar,
Sigal ,Corrientes 2854,"-34.604539,-58.406101",Balvanera,Religión,4865-7208 / 4861-9501,info@liberiasigal.com,www.libreriasigal.com,
Todo CBC,Viamonte 2011,"-34.600901,-58.395824",Recoleta,Educación,4371-6087,info@todocbc.com.ar,www.todocbc.com.ar,
Tiempos Modernos,Cuba 1921,"-34.562578,-58.453285",Belgrano,"Artes visuales, diseño y aquitectura",4788-5386 / 4787-1862,ventas@tiempos.com.ar ,www.tiempos.com.ar,
Librería de la Universidad del Salvador,Tte. Gral. Perón 1818 1º (sólo para alumnos) ,"-34.606805,-58.39235",Balvanera,"Ciencias económicas, jurídicas y empresariales",4374-4836,universidaddelsalvador@salvador.edu.ar ,www.salvador.edu.ar,
Editorial Universidad,Talcahuano 487,"-34.602889,-58.385178",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4382-4220,info@ed-universidad.com.ar ,www.ed-universidad.com.ar,
Librería Universitaria de Buenos Aires,Tucumán 1792,"-34.602001,-58.392489",San Nicolás,Humanidades,4116-5223,ludeba@ciudad.com.ar,www.xigalibros.com.ar,
Universo Romance Librería ,Librería online,"-34.608912,-58.427673",Almagro,Narrativa y poesía,,contacto@universoromancelibreria.com,www.universoromancelibreria.com ,
Librería Ursino ,Marcelo T.de Alvear 2125,"-34.597123,-58.398132",Recoleta,Medicina,4822-6194,info@ursino.com.ar,www.ursino.com.ar,af5taS756Iw
Librería El Ventanal,Florida 835 - local 18 Subsuelo. Galería Bs. As.,"-34.598282,-58.375367",Retiro,Anticuaria,4345-8800,libreriaelventanal@hotmail.com,www.libreriaelventanal.com.ar,
Víctor Aizenman,Av. Las Heras 2153 PB A ,"-34.588924,-58.395401",Palermo,Anticuaria,4803-3666,aizenman.victor@gmail.com,,
Librería del Virrey,Virrey Loreto 2407,"-34.567464,-58.450018",Belgrano,General,4783-9699,info@libreriadelvirrey.com.ar,,
Librería del Suburbio,San Juan y Boedo (solicitar entrevista por tel. o mail) ,"-34.625474,-58.416066",Boedo,De viejo,4921-4760 / 1549798779,libreriadelsuburbio@gmail.com,www.libreriadelsuburbio.com.ar,
Sudeste libros,Av. Corrientes 1117,"-34.603734,-58.38246",San Nicolás,De viejo,4382-9285,sudeste@hotmail.com,,
Yenny,josé maría ramos mejía 1000 - Terminal Retiro linea Mitre ,"-34.592626,-58.375443",Retiro,General,5787-0878,,www.tematika.com / www.yenny-elateneo.com.ar,
Yenny,Jerónimo Salguero 3172 Loc. 3013/14/15 Paseo Alcorta,"-34.575603,-58.40403",Palermo,General,4806-5457,,www.tematika.com / www.yenny-elateneo.com.ar,
Yenny,Nazarre 3135 Loc. 221 Del Parque Shopping,"-34.601901,-58.494107",Villa Devoto,General,4505-0502,,www.tematika.com / www.yenny-elateneo.com.ar,
Yenny,Aeroparque Jorge Newbery Loc. 19,"-34.55797,-58.41375",Palermo,General,4776-6903,yenny@aeroparque.com,www.tematika.com / www.yenny-elateneo.com.ar,
Yenny,Av. Rivadavia 6527,"-34.627227,-58.458122",Flores,General,4632-5941,,www.tematika.com / www.yenny-elateneo.com.ar,
Yenny,Av. Santa Fe 3251 Loc. 2025 Alto Palermo Shopping,"-34.588495,-58.410888",Palermo,General,5777-8326,altopalermo@yenny.com,www.tematika.com / www.yenny-elateneo.com.ar,
Deva´s , Av. San Juan 777,"-34.622031,-58.376852",San Telmo,Autoayuda y esoterismo,4361-3045 / 4361-2709 / 4361-2637,info@devas.com, http://devas.com,
MS libros ,Florida 835 Loc. 33A,"-34.598282,-58.375367",Retiro,Anticuaria,4313-0508,mslibros@yahoo.com.ar ,,
En el camino libros ,Corrientes 1131,"-34.603745,-58.382669",San Nicolás,De saldos,4383-5030,enelcaminolibros@yahoo.com.ar ,http://www.facebook.com/home.php?#!/profile.php?id=100000315844640&v=info,
EDICON - Consejo Profesional de Ciencias Económicas,Viamonte 1549 PB,"-34.600666,-58.388835",San Nicolás,"Ciencias económicas, jurídicas y empresariales",5382-9240,investigacion@consejo.org.ar,www.edicon.org.ar,
Aplicación Tributaria S.A.,Viamonte 1550,"-34.600698,-58.388833",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4374-6692/5418/8855,ventas@aplicacion.com.ar,www.aplicacion.com.ar,
Espacio Moebius,Bulnes 658,"-34.603921,-58.418105",Agronomía,"Artes visuales, diseño y aquitectura",1559933718,info@moebiuseditora.com,www.moebiuseditora.com,
LIBROFUTBOL.com, Olga Cossettini 1112,"-34.611215,-58.363443",Puerto Madero,,45068805,info@librofutbol.com,www.librofutbol.com,
 El Tunel de Buenos Aires, Av. de Mayo 767,"-34.608744,-58.377337",Agronomía,Anticuaria,43312106,el_lenut@hotmail.com,,
La Tecnológica,Medrano 938,"-34.598792,-58.420337",Almagro,Técnicos,4867-1794,latecnologica@hotmail.com,www.latecnologicalibros.com.ar,
Tekné,Gral. Urquiza 772,"-34.619648,-58.409248",Balvanera,Humanidades,,,,
Terra Nova Maps,Florida 835 Loc. 14,"-34.598282,-58.375367",Retiro,Anticuaria,4005-0159,terranovamaps@yahoo.com.ar,,
The Antique Book Shop,Libertad 1236,"-34.593856,-58.384452",Retiro,Anticuaria,4815-0658,antique@antano.com.ar ,,
Librería Todotécnicas,Marcelo T. de Alvear 1326,"-34.597008,-58.385999",Recoleta,Psicología,4814-1882,todotecnicas@sinectis.com.ar,,
Tribuna Epsilon,Av. Corrientes 753 Loc. 20,"-34.603434,-58.377418",San Nicolás,General,4325-5472,malang100@hotmail.com,,
El Túnel libros,Av. Cabildo 2554,"-34.557965,-58.460285",Belgrano,De saldos,4789-0114,altunel@ciudad.com.ar,www.eltunellibros.com.ar,
Libros de turismo,Paraguay 2457,"-34.59762,-58.402829",Recoleta,Turismo,4963-2866,libros@ladevi.com,www.librosdeturismo.com.ar,
Librería de la Universidad del Salvador,Rodríguez Peña 764,"-34.600005,-58.391552",San Nicolás,"General, Educación",4815-4826,,www.salvador.edu.ar,
El Vitral,Montevideo 108,"-34.607721,-58.389324",San Nicolás,Anticuaria,4372-2451,elvitrallibros@yahoo.com.ar,,
Vive leyendo - Antigua Fray Mocho ,Sarmiento 1832,"-34.60569,-58.39264",Balvanera,Teatro,4372-6646,libreriaviveleyendo@yahoo.com.ar,,
Voces del sur,Av. Rivadavia 1401,"-34.608765,-58.386292",San Nicolás,Lenguas extranjeras,5218-6743,oxman@vocesdelsur.com,www.vocesdelsur.com,
Vuelvo al sur,La Rioja 2127,"-34.636248,-58.405719",Parque Patricios,General,4943-2024,librosvuelvoalsur@yahoo.com.ar ,www.vuelvoalsur.com.ar,
Walrus,Estados Unidos 617,"-34.618507,-58.374625",San Telmo,"De viejo, Lenguas extranjeras",4300-7135,walrusbooksbuenosaires@yahoo.com,,YDumhOkzEGM
Wussman,Rodriguez Peña 1399,"-34.59326,-58.391586",Recoleta,"Artes visuales, diseño y aquitectura",4811 - 2444,info@wussman.com,www.wussmann.com,
Y su doble,Rodríguez Peña 698,"-34.600784,-58.391471",San Nicolás,General,4371-7176,ysudoble@yahoo.com.ar,www.y-su-doble.blogspot.com,
Yenny,Arce 940 Loc. Loc. 207. El Solar de la Abadía,"-34.567294,-58.437108",Belgrano,General,4778-5137,solar@yenny.com,www.tematika.com / www.yenny-elateneo.com.ar,
Yenny,Av. Cabildo 1978,"-34.563203,-58.455722",Belgrano,General,4787-6360 / 4787-5829,cabildo@yenny.com,www.tematika.com / www.yenny-elateneo.com.ar,
Yenny,Av. Corrientes 3247 Loc. 2012 Abasto de Bs. As. ,"-34.604036,-58.410992",Almagro,General,4866-4617,abasto@yenny.com,www.tematika.com / www.yenny-elateneo.com.ar,
Yenny,Av. del Libertador 740 Loc. 2032/33/34,"-34.588031,-58.383244",Retiro,General,4815-1610,,www.tematika.com / www.yenny-elateneo.com.ar,
Librerías Turísticas,Paraguay 2457,"-34.59762,-58.402829",Recoleta,Técnicos,4963-2866/4962-5547,libros1@ladevi.com,www.librosdeturismo.com,
Librería Jurídica YNY ,Lavalle 1567 Piso 7 oficina 714,"-34.602943,-58.388967",San Nicolás,"Ciencias económicas, jurídicas y empresariales",4373-5102 /3533-8997,info@yny.com.ar,www.yny.com.ar,
Librería Córdoba,Parana 1013,"-34.596936,-58.38827",San Nicolás,"Humanidades, Religión",5921-8000-Int. 8701,apuntes@libreriacordoba.com,www.libreriacordoba.com,hZ_Va_0lCLw
La libre ,Bolivar 646,"-34.615407,-58.373146",San Telmo,General,4343-5328,lalibrearteylibros@gmail.com, http://lalibrearteylibros.wordpress.com,lzP76hbt6h4
Librerías Hernández,Av. Corrientes 1436,"-34.604064,-58.38702",San Nicolás,General,4372-7845,sucursal@libreriahernandez.com.ar,www.libreriahernandez.com,20RCV1RNzio
Los Siete Pilares,Florida 835 Local 9,"-34.598282,-58.375367",Retiro,Anticuaria,4516-0450,info@pilares.com.ar,www.7pilares.com.ar,
Delfos,Av. Elcano 3258,"-34.573826,-58.459684",Colegiales,General,4555-4547,elcano3258@librosdelfos.com.ar,www.librosdelfos.com.ar,
Epifania Libros,Lavalle 1910,"-34.603218,-58.394136",Balvanera,De viejo,4953-1088,info@epifanialibros.com.ar,www.epifanialibros.com.ar,
Caterva Libros,Esmeralda 887,"-34.597825,-58.378344",Agronomía,Narrativa y poesía,4315-0988,catervalibros@gmail.com,catervalibros.blogspot.com,
Encuentro Sudeste,Av. Corrientes 1773,"-34.604433,-58.391902",San Nicolás,General,4371-6944,encuentrosudeste@gmail.com,www.encuentrosudeste.com.ar,
Andres Bello-Tienda de Libros,Gorriti 5204,"-34.588128,-58.433169",Agronomía,General,4831-2239, libreria@andresbelloar.com,www.andresbelloar.com,
agape-libros,san martin 3469,"-34.601161,-58.471911",Agronomía,Religión,45039959, agape-libros@agape-libros.com.ar,www.agape-libros.com.ar,
Librería Mireya,Florida 835 - Local 33ºB,"-34.608417,-58.373161",Agronomía,Anticuaria,4312-5535,kochmaximiliano@yahoo.com,,
NELIDA DELL AQUILA ,ALVAREZ THOMAS 3335 PISO 10,"-34.583136,-58.444582",Agronomía,Narrativa y poesía,4523-7899,nelidadellaquila@yahoo.com.ar,nelidadellaquila@yahoo.com.ar,
